Manga,ChapRead
Baby Steps,409.0
Magic Emperor,191.0
Kanojo mo kanojo,56.0
Apotheosis,750.0
Survival Story of a Sword King in a Fantasy World,88.0
The Mythical Realm,207.2
The Great Mage Returns After 4000 Years,82.0
Above all Gods,203.5
I'm The Great Immortal,303.0
Boku No Hero Academia,311.0
One Piece,1012.0
The God Of High School,514.0
Kanojo Okarishimasu,186.5
Dr Stone,194.0
Hardcore Leveling Warrior,275.0
Vinland Saga,182.0
God of Blackfield,76.0
Tonikaku Cawaii,151.0
Overgeared Team Argo,78.0
Boyfriend Of The Dead,348.0
Zero Game,88.0
Eleceed,136.0
Study Group,118.0
Omniscient Reader's Viewpoint,54.0
Versatile Mage,691.0
Solo Leveling,150.0
Dice The Cube That Changes Everything,376.0
Weak Hero,134.0
Unordinary,234.0
Lookism,333.0
The Gamer,372.0
Dr Frost,147.0
Bokutachi Wa Benkyou Ga Dekinai,186.0
Kubera,467.0
It's Mine,78.0
Shuumatsu no Walkure,46.0
Legend of The Northern Blade,85.0
The Beginning after The End,104.0
SSS class Suicide Hunter,37.0
Return To Player,38.0
Nano Machine,52.0
Mercenary Enrollment,31.0
Kill the Hero,53.0
Dimensional Mercenary,155.0
Aire (Seoli) ,23.0
The Max Level Hero has Returned,45.0
The Sword of Glory,58.0
Jungle juice,19.0
Return to Player,38.0
Medical Return,106.0
Again My Life,106.0
Chronicles of Heavenly Demon,144.0
Auto Hunting,92.0
I am a humanoid Cultivation Pill,21.0
I tamed a tyrant and ran away,36.0
Leveling Up By Only Eating,61.0
My Dad is Too Strong,52.0
Trash of the Count s family,48.0
Mashle,60.0
A Returner s magic should be special,146.0
