Manga,ChapRead
Baby Steps,407.0
Magic Emperor,169.0
Kanojo mo kanojo,47.0
Apotheosis,709.0
Survival Story of a Sword King in a Fantasy World,78.0
The Mythical Realm,207.2
The Great Mage Returns After 4000 Years,72.0
Above all Gods,183.5
I'm The Great Immortal,283.0
Boku No Hero Academia,302.0
One Piece,1004.0
The God Of High School,504.0
Kanojo Okarishimasu,177.0
Dr Stone,186.0
Hardcore Leveling Warrior,268.0
Vinland Saga,179.0
God of Blackfield,67.0
Tonikaku Cawaii,142.0
Overgeared Team Argo,67.0
Boyfriend Of The Dead,339.0
Zero Game,78.0
Eleceed,128.0
Study Group,97.0
Omniscient Reader's Viewpoint,45.0
Versatile Mage,623.0
Solo Leveling,141.0
Dice The Cube That Changes Everything,365.0
Weak Hero,127.0
Unordinary,228.0
#Rebirth-69michi,121.0
Lookism,326.0
The Gamer,362.0
Dr Frost,137.0
Bokutachi Wa Benkyou Ga Dekinai,186.0
Kubera,462.0
It's Mine,63.0
Shuumatsu no Walkure,43.0
Legend of The Northern Blade,76.0
The Beginning after The End,93.0
SSS class Suicide Hunter,27.0
How to Fight,70.0
Enoch,34.0
Murim Login,58.0
Xiu Tu,7.2
Return To Player,25.0
Nano Machine,42.0
Mercenary Enrollment,21.0
Kill the Hero,53.0
Dimensional Mercenary,151.0
Aire (Seoli) ,12.0
The Max Level Hero has Returned,37.0
The Sword of Glory,41
Arcane Sniper,21
Jungle juice,13
Return to Player,25
Medical Return,100
Again My Life,99
Chronicles of Heavenly Demon,1
Auto Hunting,75
I am a humanoid Cultivation Pill,14
I am the sorceror king,130
I tamed a tyrant and ran away,25
Max level returner,59
Leveling Up By Only Eating,50
My Dad is Too Strong,50
Trash of the Count s family,40
The tutorial is too hard,21
The tutorial tower of the advanced tower,48
Mashle,51
A Returner s magic should be special,136
